,Time,Cash and deposits,Loans and placements,Short-term securities,Long-term securities; Government; Australian,Long-term securities; Government; State and local,Long-term securities; Other,Equities and units in trusts,Land and buildings,Other assets,Assets overseas,Total assets
103,Mar-95,5199,5622,9868,9800,13649,3943,36537,9669,3809,16466,114562
104,Jun-95,4912,5817,9927,9872,13907,4925,38076,9486,4396,17214,118532
105,Sep-95,5371,6531,11485,10011,13909,4852,40023,8892,4540,15907,121521
106,Dec-95,5446,6673,12212,10229,14005,5057,41588,8743,3874,16355,124183
107,Mar-96,5219,6652,12943,11341,12775,5043,41214,8998,5245,16388,125818
108,Jun-96,5979,6460,14408,11563,12579,5107,41947,8843,4745,15579,127209
109,Sep-96,6219,6865,14531,12786,12388,5160,42862,8853,4950,16834,131448
110,Dec-96,6704,6400,16212,12998,12086,5239,45359,8081,3926,17488,134491
111,Mar-97,8182,6987,16491,12430,12243,5131,45730,7888,4522,18309,137913
112,Jun-97,6918,6920,16262,13423,12263,6276,50728,7182,5127,20452,145551
113,Sep-97,6320,7043,15912,13839,12757,7558,51359,7232,5606,22280,149906
114,Dec-97,5431,7706,18048,11828,13250,7601,52339,6247,6239,23519,152208
115,Mar-98,7035,8102,14875,11998,12834,7083,57580,7538,7456,23823,158324
116,Jun-98,5914,8096,14799,12606,12802,7107,58834,6621,7121,26940,160840
117,Sep-98,5870,8565,15570,13620,14362,7055,58651,6754,6544,25366,162357
118,Dec-98,6140,8445,15625,13801,15348,7489,63331,7010,6559,27240,170987
119,Mar-99,5909,7830,17022,13904,14117,7983,66148,7033,6391,29185,175523
120,Jun-99,6810,7648,18664,12102,13752,9737,65995,7210,7053,28635,177605
121,Sep-99,5969,8564,15166,11993,14152,12091,67354,7494,5918,28910,177611
122,Dec-99,6426,8452,13776,10667,13579,12097,75048,6823,5006,31983,183857
123,Mar-00,6695,9005,12997,9886,14666,12129,76101,6947,5711,34126,188265
124,Jun-00,7015,8819,14040,9279,14814,11165,78477,7474,6443,32953,190478
125,Sep-00,6955,9571,11087,8297,12832,9995,92351,7617,5277,32764,196747
126,Dec-00,6319,8437,11010,8848,11932,9471,97830,7597,5236,29564,196244
127,1-Mar,6851,7917,9699,8273,12289,10043,97420,8027,6404,30812,197734
128,1-Jun,6975,7694,11453,7404,12484,10277,101275,8071,6213,30319,202165
129,1-Sep,6840,7722,10798,6164,12112,10918,95501,7397,9005,28887,195345
130,1-Dec,6184,6359,12571,6466,10314,10771,106346,7237,9592,31143,206983
131,2-Mar,5851,5619,11049,7045,9385,9982,109822,7130,9564,31827,207273
132,2-Jun,6353,4770,12130,6717,10217,10303,106201,7501,8233,30526,202951
133,2-Sep,6081,5048,13027,6475,9692,10258,106257,7083,6988,27115,198023
134,2-Dec,5834,3479,13312,6221,8693,12090,107044,7025,8197,27264,199158
135,3-Mar,5919,3335,12773,5543,9031,12877,103349,7000,8571,26818,195217
136,3-Jun,6219,3581,14222,5455,9539,13188,104105,6784,8935,23876,195904
137,3-Sep,6361,2694,13894,5144,8518,11418,115679,0,0,21972,200497
138,3-Dec,6965,2318,12762,5733,8531,10304,119704,0,0,19441,198518
139,4-Mar,6186,2240,13276,5822,9041,10685,121549,0,0,17588,199552
140,4-Jun,5770,2397,13373,6106,9432,11339,124952,0,0,18687,205292
141,4-Sep,5372,2626,13631,6250,9658,12192,127977,0,0,17370,208162
142,4-Dec,5542,2182,13236,5823,9032,11948,138988,0,0,18499,219935
143,5-Mar,4843,2446,12939,5774,8044,12501,144019,0,0,18236,222624
144,5-Jun,4429,2577,12757,5695,7746,13369,156021,0,0,15828,231444
145,5-Sep,5229,4058,12724,4426,7482,12971,163158,0,0,15126,238413
146,5-Dec,5530,4201,11367,4075,7360,13198,168557,0,0,14142,238290
147,6-Mar,5148,4446,12157,3074,6695,13585,176370,0,0,13519,243832
148,6-Jun,4777,4396,11261,2774,7010,14762,172418,3105,7141,14299,241943
149,6-Sep,5134,4343,11401,2999,6682,14672,177826,3095,5355,13109,244617
150,6-Dec,4712,4065,11727,2587,6427,15173,184656,3416,4951,13291,251004
151,7-Mar,4754,4159,10962,3056,6473,14990,194553,3751,5201,12789,260688
152,7-Jun,5146,3945,10772,2849,6447,14470,200656,3367,7268,12070,266990
